district,name,cuisine,amenity,lat,lon
Quan 1,Phở Số 1 Hà Nội,unknown,fast_food,10.7848583,106.700098
Quan 1,Cà Phê Acoustic,unknown,cafe,10.7811643,106.6898451
Quan 1,Cà Phê Sỏi Đá,unknown,cafe,10.7809198,106.689929
Quan 1,Lotteria,burger,fast_food,10.780071,106.7039377
Quan 1,KFC,fried_chicken,fast_food,10.7669666,106.6962301
Quan 1,KFC,fried_chicken,fast_food,10.780868,106.6982351
Quan 1,Lotteria,burger,fast_food,10.7717072,106.687498
Quan 1,Lotteria,burger,fast_food,10.7806494,106.6984325
Quan 1,Lotteria,burger,fast_food,10.7815168,106.6926088
Quan 1,KFC,fried_chicken,fast_food,10.7702226,106.6938718
Quan 1,Lotteria,burger,fast_food,10.7917715,106.6913899
Quan 1,Lotteria,burger,fast_food,10.7676493,106.6953831
Quan 1,Nhà Hàng BBQ Chicken,unknown,restaurant,10.768208,106.6841501
Quan 1,Lotteria,burger,fast_food,10.7863467,106.7016034
Quan 1,Jollibee,burger,fast_food,10.7699629,106.6821277
Quan 1,Nhà Hàng Au Tresor,unknown,restaurant,10.772698,106.7048299
Quan 1,Lotteria,burger,fast_food,10.7772651,106.7022543
Quan 1,Cửa Hàng Đồ Ăn Nhanh G-Bread,unknown,fast_food,10.7616574,106.6896218
Quan 1,Nhà Hàng Bờ Sông,unknown,restaurant,10.789502,106.711158
Quan 1,Nhà Hàng Riverside Saigon,unknown,restaurant,10.7728736,106.7062835
Quan 1,Nhà Hàng Hai Lúa Sài Gòn,unknown,restaurant,10.7807008,106.7067111
Quan 1,Cà Phê Vườn Kiểng,unknown,cafe,10.7757808,106.7071741
Quan 1,Cà Phê Spotlight,regional,cafe,10.7645525,106.7036887
Quan 1,Cà Phê Màu Hoa Anh Đào,unknown,cafe,10.7814169,106.7061129
Quan 1,The Coffee House,coffee_shop;vietnamese,cafe,10.7809412,106.7064002
Quan 1,Cà Phê Trùng 3T,coffee_shop,cafe,10.7805044,106.7072351
Quan 1,Thức Ăn Dinh Dưỡng Cây Thị,rice,fast_food,10.7638808,106.7048454
Quan 1,Nhà Hàng Buffet Vasta,burger,cafe,10.7820596,106.7057171
Quan 1,Nhà Hàng Wrap&Roll,unknown,restaurant,10.7732882,106.7040253
Quan 1,Trung Nguyên Coffee,coffee_shop;vietnamese,cafe,10.7921354,106.7128519
Quan 1,Nhà Hàng Crazy Buffalo,unknown,restaurant,10.767375,106.6941425
Quan 1,Nhà Hàng Pizza Fixme,unknown,restaurant,10.7680337,106.6938158
Quan 1,Cà Phê Amenity,unknown,cafe,10.7682761,106.6936656
Quan 1,Nhà Hàng Đồ Ăn Việt Nam Aroma,vietnamese,restaurant,10.7684684,106.6938884
Quan 1,Cà Phê Hog's Breath,australian,cafe,10.7718499,106.7048379
Quan 1,Bánh Canh Hoàng Ty,regional,restaurant,10.7917311,106.6915979
Quan 1,Cà Phê Napoli,unknown,cafe,10.7732622,106.6938064
Quan 1,Cafe Thứ 7,unknown,cafe,10.7853912,106.6966905
Quan 1,Cà Phê Terrace,unknown,cafe,10.7737673,106.7011077
Quan 1,Cà Phê Au Parc,mediterranean,cafe,10.7787503,106.6981182
Quan 1,Cà Phê The Refinery,unknown,cafe,10.7782301,106.7037621
Quan 1,Nhà Hàng Vietnamese Kitchen,unknown,restaurant,10.7666137,106.6922676
Quan 1,Nhà Hàng Jaspas,unknown,restaurant,10.778168,106.7037041
Quan 1,The Coffee House,coffee_shop;vietnamese,cafe,10.7850269,106.7026662
Quan 1,Cà Phê Đá,coffee_shop,cafe,10.7805631,106.6975344
Quan 1,Cà Phê 4A,unknown,cafe,10.781379,106.697592
Quan 1,Cửa Hàng Fresh Donuts,sandwich,fast_food,10.7827014,106.6980129
Quan 1,Nhà Hàng Shri Lounge,international,restaurant,10.7826304,106.6972822
Quan 1,Hội Quán Thanh Niên,coffee_shop,cafe,10.7819478,106.6979915
Quan 1,Cà Phê Ciao,vietnamese;international;coffee_shop,cafe,10.7751001,106.7029693
Quan 1,Nhà Hàng Ấn Độ Curry Rice,indian,restaurant,10.7762829,106.7042247
Quan 1,Nhà Hàng Halal Sai Gon,asian,restaurant,10.7760297,106.7047293
Quan 1,Nhà Hàng Cung Đình Rex,vietnamese,restaurant,10.7754972,106.7007063
Quan 1,Nhà Hàng Tiệc Cưới 108 Nguyễn Du,vietnamese,restaurant,10.7754764,106.6956779
Quan 1,Cà Phê 30-4,unknown,cafe,10.7761438,106.6946963
Quan 1,Nhà Hàng Alibaba,international;grill;coffee_shop;persian;asian;steak_house;beef_bowl;russian;donut;pancake;fish_and_chips;chicken;vietnamese;oriental;breakfast;savory_pancakes;tea;seafood;friture;chinese;kebab;barbecue,restaurant,10.7743953,106.7040996
Quan 1,Highlands Coffee,coffee_shop;vietnamese,cafe,10.7769684,106.70344
Quan 1,Cà Phê Smart,coffee_shop,cafe,10.7876581,106.6999764
Quan 1,Nhà Hàng Hải Cảng,chinese,restaurant,10.7662887,106.7077614
Quan 1,Nhà Hàng Honeymoon,unknown,restaurant,10.7602951,106.6991702
Quan 1,Cửa Hàng Xôi Chè Bùi Thị Xuân,unknown,restaurant,10.7675882,106.6863944
Quan 1,Topping Beef,unknown,restaurant,10.7797991,106.6949139
